Y,umur_krt,jumlah_art,luas_lantai,jk_krt,status_kawin_krt,pendidikan_krt,pekerjaan_krt,keluhan_kesehatan,internet_krt,usaha_mikro,bansos,wilayah,status_bangunan,jenis_lantai,jenis_dinding,jenis_atap,sumber_air,penerangan,bahan_bakar,motor,laptop,kabupaten
1,35,1,170,1,2,13,20,1,1,5,5,2,1,6,1,3,7,1,4,1,5,1
0,54,1,160,1,2,14,3,1,1,5,1,2,1,2,1,3,7,1,4,1,5,1
0,46,1,399,1,2,21,20,1,1,5,5,2,1,6,1,3,3,1,4,1,1,1
0,60,1,90,2,4,3,3,1,1,5,1,2,1,6,1,3,7,1,4,1,1,1
0,49,1,500,1,2,21,20,5,1,5,5,2,1,2,1,3,2,1,4,1,1,1
0,84,1,112,1,2,3,3,1,1,5,1,2,3,6,1,2,3,1,4,1,5,1
0,44,2,140,1,2,3,1,1,1,1,5,2,3,6,1,3,2,1,4,1,1,1
0,46,2,107,1,2,21,20,1,1,5,5,2,1,2,1,3,2,1,4,1,1,1
0,41,2,120,1,2,3,1,1,1,5,5,2,1,6,1,3,2,1,4,1,5,1
0,59,1,108,1,2,4,1,1,1,1,5,2,1,6,1,3,9,1,4,1,5,1
0,36,1,40,2,2,9,12,1,1,1,5,2,1,6,1,3,2,2,4,5,5,1
0,80,1,73,1,2,3,3,1,1,5,5,2,1,5,1,3,9,1,4,5,5,1
0,44,1,98,2,2,9,24,1,1,5,5,2,1,2,1,3,2,2,4,1,5,1
0,28,2,180,2,2,14,1,1,1,1,1,2,3,2,1,3,2,1,4,1,1,1
0,31,1,96,2,2,13,20,1,1,5,5,2,1,6,1,3,2,2,4,1,5,1
0,46,1,98,1,2,3,2,1,1,1,5,2,1,6,1,3,2,1,4,1,5,1
1,43,2,144,1,2,15,11,1,1,1,1,2,1,6,1,3,9,1,4,1,5,1
0,56,2,105,1,2,8,3,1,1,1,5,2,1,6,1,3,9,1,4,1,5,1
0,70,1,36,2,4,3,1,1,1,1,1,2,3,6,1,3,10,1,10,1,5,1
0,37,2,104,1,2,21,11,1,1,1,5,2,1,6,1,3,9,2,4,1,1,1
1,58,1,88,1,2,3,11,1,1,5,5,2,1,2,1,3,2,1,4,1,1,1
1,41,1,77,1,2,8,1,1,1,1,1,2,1,6,1,3,9,1,10,1,5,1
1,59,2,80,1,2,3,1,1,1,1,5,2,1,6,1,3,9,1,4,1,5,1
1,51,2,132,1,2,15,3,1,1,1,1,2,1,2,1,3,9,1,4,1,5,1
0,42,1,54,1,2,13,1,1,1,1,5,2,1,6,1,3,2,1,10,1,5,1
